Crop,Symptom1,Disease,Image
mango,"Small, dark spots on flowers; spots coalesce to cover entire panicle; infected flowers dropping from tree; ",Anthracnose ,https://plantvillage-production-new.s3.amazonaws.com/image/3557/file/default-70a862e07b0c44bf0723ec8a040a341a.jpg
mango,"Gray-white powdery growth on leaves, flowers and/or fruit; curled, distorted shoots;",Powdery mildew,https://plantvillage-production-new.s3.amazonaws.com/image/3559/file/default-6ce5d657c28d61eb44709f8c89521c57.jpg
mango,"The leaves, twigs, inflorescence and fruits are covered with shiny black and sticky growth of fungal mycelium.",Sooty mold,https://plantvillage-production-new.s3.amazonaws.com/image/62369/file/default-9b8a62054e817b23ccaf97cea76d64f4.jpg
mango,"The adult female flies lay egg just under the skin of semi repine fruits. The maggots develop and feed inside the fruit, causing the flesh to turn brown and soft which emits foul smell.",Pests,https://plantvillage-production-new.s3.amazonaws.com/image/62371/file/default-066bff2cb75d706f170e34450936c33b.jpg
mango,"Both nymphs and female insects sucks sap form all parts mango tree (i.e., tender leaves, shoots and inflorescence).",Mango mealybugs,https://plantvillage-production-new.s3.amazonaws.com/image/62377/file/default-35521f0fd07ae1fdc9c6eb0669e9c0ae.jpg
mango,"Scale insects suck the sap from leaves, branches and fruits which causes defoliation, drying up of young twigs, poor blossoming and also affect the quality of fruits by causing conspicuous pink blemishes.",White Mango Scale ,https://plantvillage-production-new.s3.amazonaws.com/image/62844/file/default-65f3470f8ad6eba916e77c8df3161ed4.jpg
Strawberry,Very small water-soaked lesions on lower surfaces of leaves which enlarge to form dark green or translucent angular spots which ooze bacteria,Angular leaf spot,https://plantvillage-production-new.s3.amazonaws.com/image/98787/file/default-f7613c6247b64c968267c7dc1c471c8c.jpg
Strawberry,Irregular dark purple or brown blotches on upper leaf surface which may colaesce to produce large purplish brown patches; tissue between blotches may turn purple or red;,Leaf scorch,https://plantvillage-production-new.s3.amazonaws.com/image/748/file/default-4f5f65e56f5fe3a36df2a4175f59e28e.jpg
Strawberry,"Leaf spot Round black or light gray lesions on leaves; numerous spots may develop but leaves do not die. Runners and petioles Dark brown or black sunken, circular lesions on stems, petioles and runners",Anthracnose ,https://plantvillage-production-new.s3.amazonaws.com/image/1904/file/default-5da08d4a9f43d2968eb1a9814c87c8bf.jpg
Strawberry,Blossoms turning brown and dying; misshapen fruit; patches of rot on fruit which enlarge and often affects entire fruit; masses of gray mycelium on surface of rotting tissue,Gray mold ,https://plantvillage-production-new.s3.amazonaws.com/image/1910/file/default-6458269ed1e967753c731a22ef1dba2e.jpg
Strawberry,Small round or irregular deep purple lesions on upper surfaces of leaves which enlarge and develop a gray-white center; lesions can grow large in susceptible varieties and the center of the lesion remains brown,Leaf spot ,https://plantvillage-production-new.s3.amazonaws.com/image/3622/file/default-c53d01bd777e5ccb082d5e7c37760ea3.jpg
Strawberry,"One to five circular, red-purple spots on leaflet; distinct zonal patterns on leaves with dark brown center surrounded by lighter brown and then purple, red or yellow",Phomopsis leaf blight,https://plantvillage-production-new.s3.amazonaws.com/image/751/file/default-ef4911d36bd2d87e6547ea72f73657e8.jpg
guava,"Orange, rust-colored, dense, silky tufts on both upper and lower surfaces of leaves which turn reddish-purple in color as they mature",Algal leaf spot,https://plantvillage-production-new.s3.amazonaws.com/image/1083/file/default-3139ff0caad07020681794865d5bd66f.jpg
guava,"Sunken, dark colored lesions on mature fruit which may become covered in pink spores",Anthracnose,https://plantvillage-production-new.s3.amazonaws.com/image/1079/file/default-9f6babac75625d90faa341573dcedd05.jpg
guava,"Orange to red pustules appearing on leaves, young shoots, flowers and/or fruit; leaves distorted; defoliation of tree",Rust,https://plantvillage-production-new.s3.amazonaws.com/image/99324/file/default-1a94b58246e9a422ef493b081fb72409.jpg
guava,"Depressions in fruit with dark colored puncture wounds; soft, mushy areas on fruit caused by larvae feedign on fruit; development of secondary rots often cause fruit to drop from tree;",Fruit flies ,https://plantvillage-production-new.s3.amazonaws.com/image/3548/file/default-35170afe313325f94272d8a99c275d31.jpg
potato,Wilting stems and leaves; dying leaves; lower leaves wilting first; ring of creamy yellow to brown rot visible when tuber is cut crossways,Bacterial ring rot,https://plantvillage-production-new.s3.amazonaws.com/image/930/file/default-59428176f128b1ffe82b520b6cf9dc29.jpg
potato,"Small, water-soaked lesions on base of stems originating from seed piece; lesions may enlarge to form a large extended lesion stretching from base of stem to canopy",Blackleg,https://plantvillage-production-new.s3.amazonaws.com/image/3616/file/default-ccedf36d1e2d801fa7e39ce771893ca2.jpg
potato,"Raised brown lesions on tubers with corky texture; deep, pitted brown or black lesions on tuber with straw-colored translucent tissue underneath",Common scab,https://plantvillage-production-new.s3.amazonaws.com/image/943/file/default-118966b17c6e70a81b21fb961206e612.jpg
tomato,"Fruit symptoms are the most common although stem, leaves and roots can also be infected; disease causes characteristic sunken circular lesions on the fruit",Anthracnose ,https://plantvillage-production-new.s3.amazonaws.com/image/1171/file/default-425b36c36e734b2b90b191807bf2d501.jpg
tomato,Disease causes the appearance of black or brown lesions on the surface of ripe fruit; lesions may be tiny flecks or may be large patches of decaying tissue;,Black mold,https://plantvillage-production-new.s3.amazonaws.com/image/63644/file/default-f5ab729e1e0952c8e3fe1c542f252a70.jpg
tomato,Early blight symptoms start as oval shaped lesions with a yellow chlorotic region across the lesion; concentric leaf lesions may be seen on infected leaves,Early blight,https://plantvillage-production-new.s3.amazonaws.com/image/626/file/default-9db589fd25da23a1e54bf457573e0868.jpg
tomato,Symptoms of Fusarium wilt may first appear as yellowing and wilting of leaves on one side of the leaf midrib or plant,Fusarium wilt,https://plantvillage-production-new.s3.amazonaws.com/image/1178/file/default-4002cf2aa149b911b08927160fd6979b.jpg
tomato,"Disease appears on tomato seedlings at or just below the soil line as a fuzzy gray-brown lesion which often girdles the stem, if stem is girdled all parts of the plant above the lesion begin to wilt",Gray mold,https://plantvillage-production-new.s3.amazonaws.com/image/63616/file/default-fcdcc0914dbf2813e91de329afb2af7c.jpg
tomato,"he fungus infects all parts of plant. Infected leaves shows small, pinpoint, water soaked spots initially.",Target Spot,https://plantvillage-production-new.s3.amazonaws.com/image/63624/file/default-208bb80eee23de1b57c0d5c91783ae18.jpg
cucumber,"Small, yellow-brown spots with a yellow or green halo which first appear on the oldest leaves;",Alternaria leaf blight,https://plantvillage-production-new.s3.amazonaws.com/image/100236/file/default-e95de8b5d2db4cfedb588799f48bc8f8.jpg
cucumber,Yellow/brown discoloration on fruit; water soaked spots on side of fruit in contact with soil; brown mold growing on rotting areas; collapse of seedlings.,Belly rot,https://plantvillage-production-new.s3.amazonaws.com/image/1684/file/default-44e307359f032410228122006a5b839a.jpg
cucumber,"Initial symptoms of disease occur on older leaves as small spots with light to tan brown centers; as the disease progresses, the lesions enlarge to cover large areas of the leaf surface",Cercospora leaf spot,https://plantvillage-production-new.s3.amazonaws.com/image/100288/file/default-a6812915777adcdfc4b51758c28ff564.jpg
cucumber,Fluffy purplish mildew on underside of leaves; yellow spots on the upper side of leaves.,Downy mildew,https://plantvillage-production-new.s3.amazonaws.com/image/1685/file/default-9730a5dc0856322cb09d42e42cb7b362.jpg
apple,Yellow or chlorotic spots on leaves; dark olive green spots on leaves and fruit; may be a velvety growth on spots on undersides of leaves,Apple scab,https://plantvillage-production-new.s3.amazonaws.com/image/1401/file/default-610ac3614992df51e1ceca22e0f09324.jpg
apple,"Purple flecks or circular lesions which are brown in the centre and purple at margin; red flecks, purple lesions and/or brown black rings on fruit.",Black rot ,https://plantvillage-production-new.s3.amazonaws.com/image/1417/file/default-fcc5649afe9d22039276a55a5cdee24b.jpg
apple,Bright orange or yellow patches on top side of leaves surrounded by a red band and small black spots in the center,Cedar apple rust,https://plantvillage-production-new.s3.amazonaws.com/image/1411/file/default-0366041960ad14e8b355c1a09f6b6659.jpg
apple,Shiny black fungal fruiting bodies appear as dots arranged in irregular to circular pattern on fruit surface.,Flyspeck,https://plantvillage-production-new.s3.amazonaws.com/image/99426/file/default-5e83aa295ca978629c4782c8f04dab95.jpg
apple,White velvety patches on underside of leaves; chlorotic spots on top side of the leaves,Powdery mildew,https://plantvillage-production-new.s3.amazonaws.com/image/1409/file/default-45c17c86d7c00f62cce48d49929a5438.jpg
mamaize,"Anthracnose symptoms vary widely depending on numerous factors such as genotype, age of plant and environmental conditions.",Anthracnose,https://plantvillage-production-new.s3.amazonaws.com/image/62767/file/default-e9f51fc804b3b9d15f77664f5055edfc.jpg
mamaize, Brown Spots with yellow rings throughout the leaf during the growing period of the Cassava,Cercospora leaf spot,https://plantvillage-production-new.s3.amazonaws.com/image/1130/file/default-abb976acd02af20dd7cae50fcc30554a.jpg
mamaize,Symptoms are usually first apparent at the tasseling stage; plant stalks become shredded and pith is completely rotted with stringy strands of vascular tissue left intact,Charcoal rot,https://plantvillage-production-new.s3.amazonaws.com/image/1157/file/default-6daee8e602e14047384b6a06d6fde850.jpg
mamaize,Oval or elongated cinnamon brown pustules on upper and lower surfaces of leaves; pustules rupture and release powdery red spores,Common rust ,https://plantvillage-production-new.s3.amazonaws.com/image/1146/file/default-4ce1d51e65785e3cdaa115459c9561c9.jpg
mamaize,Plants wilting and leaves changing color from light to dull green; lower stalk turns straw yellow,Giberrella stalk and ear rot,https://plantvillage-production-new.s3.amazonaws.com/image/1153/file/default-1c4cc9fea0f1f05698b34177a5860a5a.jpg
mamaize,n the beginning we will notice elliptical gray-green lesions on leaves. As the disease process this lesions become pale gray to tan color.,Northern Leaf Blight,https://plantvillage-production-new.s3.amazonaws.com/image/62234/file/default-aebb427c04a2d27c9fa5d31e4e978df2.jpg
Barley,"Water soaked spots on foliage; shriveling dead leaves; glossy yellow or brown streaks; plant appears stunted, slow plant growth.",Bacterial blight,https://plantvillage-production-new.s3.amazonaws.com/image/1498/file/default-545b58eef46a5f2ac6a6a19cbea384c9.jpg
Barley,Brown discoloration at base of the glume (bract covering the kernel); dark line where glume attaches to spike,Basal glume rot,https://plantvillage-production-new.s3.amazonaws.com/image/99773/file/default-d7e20d9861817a1a4089d2cef849493c.jpg
Barley,Small yellow spots on seedling leaves; yellow to tan stripes along leaf blade before heading; red margins on stripes; death of diseased tissue,Barley stripe,https://plantvillage-production-new.s3.amazonaws.com/image/595/file/default-3cd874ddcfb734849eef1014910b793d.jpg
Barley,"Stunted growth of plants; yellow green blotches at leaf tip, leaf margin or leaf blade; leaves turning bright yellow, red or purple.",Barley yellow dwarf,https://plantvillage-production-new.s3.amazonaws.com/image/99743/file/default-d3c820981c4e6f78bacc297084cda7d7.jpg
coconut,Chlorosis of youngest open leaves; leaves rapidly turning necrotic; necrotic spots on leaf bases,Bud rot and nutfall ,https://plantvillage-production-new.s3.amazonaws.com/image/99665/file/default-d8b710170f545f150c4abe3f22f609c8.jpg
coconut,Older fronds turning yellow and gradually wilting and drooping; fronds collapsing and dying; internal tissue of lower stem discolored; overall reduction in vigor.,Ganoderma butt rot,https://plantvillage-production-new.s3.amazonaws.com/image/99605/file/default-fdd68ebf27200cdcce8965fb4c1105a2.jpg
coconut,"Small, yellow-brown spots on leaflets which develop gray centers and dark green borders; lesions coalesce to form large necrotic patches; tips of leaflets turning gray; canopy has blighted appearance.",Gray leaf blight,https://plantvillage-production-new.s3.amazonaws.com/image/99625/file/default-deaa1071bb5e71092f2d43413d08ed06.jpg
coconut,Oldest leaves of palm turning yellow and wilting; reddish-brown rot in bole tissue; destruction of root system,Lethal bole rot,https://plantvillage-production-new.s3.amazonaws.com/image/99644/file/default-a8e0745b90d7e0d05ffd54c8297eddc0.jpg
coconut,Newly formed nuts more rounded than in previous years; nuts exhibit scarring on the surface; chlorotic spots on leaves,Cadang-cadang,https://plantvillage-production-new.s3.amazonaws.com/image/99602/file/default-f9e0bb9106c1a2c4dd769faae897eb28.jpg
carrot,Green-brown water-soaked lesions on leaves which enlarge and turn dark brown or black; lesions may coalesce causing leaves to yellow and die; lesions may be present on petioles,Alternaria leaf blight,
carrot,"Small, necrotic flecks on leaves which develop a chlorotic halo and expand into tan brown necrotic spots; lesions coalesce and cause leaves to wither, curl and die",Cercospora leaf blight,https://plantvillage-production-new.s3.amazonaws.com/image/907/file/default-7b0213f94ab74f2107105bfdbfa096d6.jpg
carrot,"Small, water-soaked, soft lesions on crown and roots; white fluffy fungal growth all over affected tissues; soft and decaying tissue developing",Cottony rot,https://plantvillage-production-new.s3.amazonaws.com/image/904/file/default-204168601e52fc6006af4c3b8fa227b0.jpg
carrot,Small soft bodied insects on underside of leaves and/or stems of plant;,Aphids,https://plantvillage-production-new.s3.amazonaws.com/image/1844/file/default-2c1df707c47c825e0080713e11540e53.jpg
carrot,Surface scarring of taproot caused by tunnels; tunnels are filled with a rust colored mush;,Carrot rust fly,https://plantvillage-production-new.s3.amazonaws.com/image/1837/file/default-b987eb85a83df7313abb84d556322c2b.jpg
papaya,Small water-soaked lesions of fruit during ripening; circular sunken lesions with light brown margins.,charcoal spot,https://plantvillage-production-new.s3.amazonaws.com/image/3566/file/default-7ab28ebe51ee797849520e8d86619e1e.jpg
papaya,Black sunken rot on young fruits originating from stem end or contact with a leaf,Black rot,https://plantvillage-production-new.s3.amazonaws.com/image/2185/file/default-a2a3b65e9e87612e59007f0bc0ce4be4.jpg
papaya,"Infect all parts of tree. The infected leaves show white mycelial growth commonly on under surface , particularly near leaf veins",Powdery mildew,https://plantvillage-production-new.s3.amazonaws.com/image/98685/file/default-1ef2396d0a522bc92399bc3781064745.jpg
