crop_name,disease_name,symptoms,recommended_fertilizers,recommended_insecticides,image_url
Rice,Powdery Mildew,Necrotic areas,"Sulfur, Phosphorous","Imidacloprid, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Rice,Downy Mildew,Water-soaked lesions,"Sulfur, Nitrogen","Malathion, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rice,Root Rot,Dark spots,"Sulfur, Potassium","Chlorantraniliprole, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Rice,Wilt,White powdery coating,"Sulfur, Phosphorous","Lambda-cyhalothrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Rice,Anthracnose,Water-soaked lesions,"Nitrogen, Potassium","Lambda-cyhalothrin, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Rice,Smut,Leaf curling,"Phosphorous, Calcium","Carbaryl, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rice,Scab,Stunted growth,"Nitrogen, Calcium","Permethrin, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Rice,Mosaic Virus,Chlorosis,"Magnesium, Potassium","Acetamiprid, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Maize,Leaf Blight,Wilting,"Sulfur, Potassium","Carbaryl, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Maize,Rust,Chlorosis,"Magnesium, Nitrogen","Acetamiprid, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Maize,Powdery Mildew,Wilting,"Phosphorous, Nitrogen","Spinosad, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Maize,Downy Mildew,Fungal patches,"Sulfur, Calcium","Malathion, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Maize,Root Rot,Stunted growth,"Magnesium, Potassium","Thiamethoxam, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Maize,Wilt,Leaf curling,"Magnesium, Phosphorous","Chlorantraniliprole, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Maize,Anthracnose,Dark spots,"Phosphorous, Nitrogen","Acetamiprid, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Maize,Smut,Water-soaked lesions,"Potassium, Sulfur","Acetamiprid, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Maize,Scab,Leaf curling,"Potassium, Nitrogen","Cypermethrin, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Maize,Mosaic Virus,Stunted growth,"Magnesium, Calcium","Thiamethoxam, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Barley,Leaf Blight,Necrotic areas,"Phosphorous, Calcium","Cypermethrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Barley,Rust,Dark spots,"Calcium, Magnesium","Spinosad, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Barley,Powdery Mildew,Yellowing leaves,"Nitrogen, Phosphorous","Carbaryl, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Barley,Downy Mildew,Stunted growth,"Magnesium, Nitrogen","Chlorantraniliprole, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Barley,Root Rot,Stunted growth,"Nitrogen, Sulfur","Malathion, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Barley,Wilt,Yellowing leaves,"Calcium, Magnesium","Malathion, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Barley,Anthracnose,Leaf curling,"Nitrogen, Magnesium","Lambda-cyhalothrin, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Barley,Smut,Fungal patches,"Phosphorous, Potassium","Cypermethrin, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Barley,Scab,Necrotic areas,"Nitrogen, Calcium","Chlorantraniliprole, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Barley,Mosaic Virus,White powdery coating,"Nitrogen, Phosphorous","Thiamethoxam, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Oats,Leaf Blight,Necrotic areas,"Magnesium, Sulfur","Imidacloprid, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Oats,Rust,Fungal patches,"Magnesium, Sulfur","Carbaryl, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Oats,Powdery Mildew,Stunted growth,"Sulfur, Magnesium","Thiamethoxam, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Oats,Downy Mildew,Yellowing leaves,"Sulfur, Magnesium","Thiamethoxam, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Oats,Root Rot,Leaf curling,"Sulfur, Magnesium","Permethrin, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Oats,Wilt,Yellowing leaves,"Calcium, Magnesium","Spinosad, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Oats,Anthracnose,Leaf curling,"Magnesium, Sulfur","Spinosad, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Oats,Smut,Necrotic areas,"Calcium, Sulfur","Malathion, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Oats,Scab,Necrotic areas,"Magnesium, Potassium","Acetamiprid, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Oats,Mosaic Virus,Yellowing leaves,"Calcium, Potassium","Imidacloprid, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Sorghum,Leaf Blight,Yellowing leaves,"Magnesium, Potassium","Permethrin, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Sorghum,Rust,Yellowing leaves,"Potassium, Phosphorous","Permethrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Sorghum,Powdery Mildew,Chlorosis,"Calcium, Magnesium","Lambda-cyhalothrin, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Sorghum,Downy Mildew,Stunted growth,"Potassium, Sulfur","Malathion, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Sorghum,Root Rot,Leaf curling,"Sulfur, Potassium","Chlorantraniliprole, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Sorghum,Wilt,Fungal patches,"Sulfur, Nitrogen","Lambda-cyhalothrin, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Sorghum,Anthracnose,Dark spots,"Phosphorous, Magnesium","Permethrin, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Sorghum,Smut,Dark spots,"Potassium, Calcium","Carbaryl, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Sorghum,Scab,Fungal patches,"Phosphorous, Sulfur","Carbaryl, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Sorghum,Mosaic Virus,Fungal patches,"Sulfur, Potassium","Spinosad, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Millet,Leaf Blight,Yellowing leaves,"Magnesium, Calcium","Cypermethrin, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Millet,Rust,Dark spots,"Nitrogen, Calcium","Lambda-cyhalothrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Millet,Powdery Mildew,White powdery coating,"Magnesium, Calcium","Thiamethoxam, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Millet,Downy Mildew,Yellowing leaves,"Magnesium, Calcium","Cypermethrin, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Millet,Root Rot,Water-soaked lesions,"Magnesium, Nitrogen","Imidacloprid, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Millet,Wilt,Fungal patches,"Potassium, Magnesium","Chlorantraniliprole, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Millet,Anthracnose,Necrotic areas,"Phosphorous, Calcium","Malathion, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Millet,Smut,Chlorosis,"Nitrogen, Potassium","Chlorantraniliprole, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Millet,Scab,Dark spots,"Potassium, Magnesium","Spinosad, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Millet,Mosaic Virus,Wilting,"Magnesium, Phosphorous","Acetamiprid, Chlorantraniliprole",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rye,Leaf Blight,White powdery coating,"Magnesium, Potassium","Chlorantraniliprole, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Rye,Rust,Chlorosis,"Potassium, Sulfur","Permethrin, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rye,Powdery Mildew,Dark spots,"Nitrogen, Phosphorous","Chlorantraniliprole, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rye,Downy Mildew,Fungal patches,"Calcium, Nitrogen","Chlorantraniliprole, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Rye,Root Rot,Fungal patches,"Phosphorous, Nitrogen","Spinosad, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rye,Wilt,Leaf curling,"Sulfur, Nitrogen","Permethrin, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Rye,Anthracnose,Stunted growth,"Potassium, Magnesium","Spinosad, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Rye,Smut,Necrotic areas,"Phosphorous, Magnesium","Spinosad, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Rye,Scab,Water-soaked lesions,"Nitrogen, Magnesium","Chlorantraniliprole, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Rye,Mosaic Virus,Dark spots,"Magnesium, Nitrogen","Permethrin, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Quinoa,Leaf Blight,Chlorosis,"Sulfur, Magnesium","Carbaryl, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Quinoa,Rust,Chlorosis,"Calcium, Magnesium","Cypermethrin, Chlorantraniliprole",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Quinoa,Powdery Mildew,Wilting,"Calcium, Nitrogen","Malathion, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Quinoa,Downy Mildew,Water-soaked lesions,"Potassium, Magnesium","Spinosad, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Quinoa,Root Rot,Chlorosis,"Phosphorous, Potassium","Thiamethoxam, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Quinoa,Wilt,Leaf curling,"Sulfur, Nitrogen","Cypermethrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Quinoa,Anthracnose,Dark spots,"Potassium, Magnesium","Cypermethrin, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Quinoa,Smut,Wilting,"Magnesium, Potassium","Permethrin, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Quinoa,Scab,Dark spots,"Nitrogen, Sulfur","Malathion, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Quinoa,Mosaic Virus,White powdery coating,"Sulfur, Nitrogen","Cypermethrin, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Amaranth,Leaf Blight,Yellowing leaves,"Calcium, Potassium","Imidacloprid, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Amaranth,Rust,Fungal patches,"Calcium, Nitrogen","Lambda-cyhalothrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Amaranth,Powdery Mildew,Fungal patches,"Sulfur, Magnesium","Carbaryl, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Amaranth,Downy Mildew,Yellowing leaves,"Calcium, Phosphorous","Lambda-cyhalothrin, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Amaranth,Root Rot,Yellowing leaves,"Magnesium, Nitrogen","Lambda-cyhalothrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Amaranth,Wilt,Stunted growth,"Potassium, Phosphorous","Cypermethrin, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Amaranth,Anthracnose,Stunted growth,"Phosphorous, Calcium","Lambda-cyhalothrin, Spinosad",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Amaranth,Smut,Stunted growth,"Calcium, Sulfur","Carbaryl, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Amaranth,Scab,Water-soaked lesions,"Calcium, Potassium","Chlorantraniliprole, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Amaranth,Mosaic Virus,Dark spots,"Nitrogen, Magnesium","Imidacloprid, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Tomato,Leaf Blight,Stunted growth,"Nitrogen, Calcium","Cypermethrin, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Tomato,Rust,White powdery coating,"Magnesium, Potassium","Carbaryl, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Tomato,Powdery Mildew,Wilting,"Calcium, Nitrogen","Imidacloprid, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Tomato,Downy Mildew,Chlorosis,"Potassium, Phosphorous","Lambda-cyhalothrin, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Tomato,Root Rot,Necrotic areas,"Calcium, Nitrogen","Thiamethoxam, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Tomato,Wilt,White powdery coating,"Magnesium, Nitrogen","Permethrin, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Tomato,Anthracnose,Chlorosis,"Phosphorous, Sulfur","Chlorantraniliprole, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Tomato,Smut,White powdery coating,"Calcium, Phosphorous","Spinosad, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Tomato,Scab,Leaf curling,"Phosphorous, Nitrogen","Carbaryl, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Tomato,Mosaic Virus,Yellowing leaves,"Magnesium, Nitrogen","Spinosad, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Potato,Leaf Blight,Yellowing leaves,"Sulfur, Magnesium","Spinosad, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Potato,Rust,Water-soaked lesions,"Calcium, Potassium","Carbaryl, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Potato,Powdery Mildew,White powdery coating,"Potassium, Magnesium","Chlorantraniliprole, Imidacloprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Potato,Downy Mildew,Dark spots,"Magnesium, Nitrogen","Spinosad, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Potato,Root Rot,Wilting,"Magnesium, Sulfur","Chlorantraniliprole, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Potato,Wilt,Fungal patches,"Nitrogen, Magnesium","Lambda-cyhalothrin, Chlorantraniliprole",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Potato,Anthracnose,Leaf curling,"Phosphorous, Calcium","Thiamethoxam, Malathion",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Potato,Smut,Wilting,"Sulfur, Phosphorous","Lambda-cyhalothrin, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Potato,Scab,Necrotic areas,"Calcium, Potassium","Acetamiprid, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Potato,Mosaic Virus,Stunted growth,"Sulfur, Calcium","Acetamiprid, Chlorantraniliprole",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Onion,Leaf Blight,Water-soaked lesions,"Sulfur, Magnesium","Chlorantraniliprole, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Onion,Rust,Dark spots,"Phosphorous, Magnesium","Acetamiprid, Cypermethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Onion,Powdery Mildew,White powdery coating,"Nitrogen, Phosphorous","Imidacloprid, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
Onion,Downy Mildew,Wilting,"Calcium, Phosphorous","Malathion, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Onion,Root Rot,Necrotic areas,"Nitrogen, Magnesium","Carbaryl, Lambda-cyhalothrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Onion,Wilt,Fungal patches,"Nitrogen, Sulfur","Spinosad, Thiamethoxam",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Onion,Anthracnose,Fungal patches,"Phosphorous, Magnesium","Thiamethoxam, Carbaryl",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Onion,Smut,Leaf curling,"Potassium, Phosphorous","Cypermethrin, Acetamiprid",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Onion,Scab,Necrotic areas,"Magnesium, Potassium","Carbaryl, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/images_2__11zon_4bfc4789-cd39-4f46-aae6-a44951b72e41.webp?v=1742382555
Onion,Mosaic Virus,Yellowing leaves,"Magnesium, Calcium","Cypermethrin, Chlorantraniliprole",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Garlic,Leaf Blight,Wilting,"Nitrogen, Magnesium","Carbaryl, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_22__11zon.webp?v=1742382555
Garlic,Rust,White powdery coating,"Nitrogen, Sulfur","Carbaryl, Permethrin",https://cdn.shopify.com/s/files/1/0762/3639/0696/files/download_23__11zon.webp?v=1742382742
